,Unnamed: 0,Parcel ID,Address,County,State,Sale Date,Sale Price,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,Neighborhood,lat,long
98,98,15047G000074,7029 BLACKBIRD CT,Hall County,Georgia,2/18/2022,"$441,985.00 ",0.21,Residential,2021,2748,$160.84 ,05037K STERLING KNUTSON,34.1568355,-83.9155935
99,99,08111 003292,5928 SCREECH OWL DR,Hall County,Georgia,2/18/2022,"$363,990.00 ",0.14,Residential,2021,2613,$139.30 ,08111 Summit Lake,34.1921536,-83.9255252
100,100,08111 003282,5992 SCREECH OWL DR,Hall County,Georgia,2/18/2022,"$407,990.00 ",0.19,Residential,2021,2872,$142.06 ,08111 Summit Lake,34.1907368,-83.9259312
101,101,15047G000073,7019 BLACKBIRD CT,Hall County,Georgia,2/17/2022,"$430,985.00 ",0.15,Residential,2021,2535,$170.01 ,05037K STERLING KNUTSON,34.1572582,-83.9153866
102,102,10017 000152,7018 HAMMOCK TRL,Hall County,Georgia,2/17/2022,"$551,900.00 ",0.36,Residential,2021,1993,$276.92 ,03900A Marina Bay Hammock Trail,34.3533439,-83.9619023
103,103,08065 000350,5118 WATCHMANS CV,Hall County,Georgia,2/16/2022,"$408,170.00 ",0.16,Residential,2021,1937,$210.72 ,08065 Stephens Point,34.2418335,-83.9095519
104,104,08065 000351,5114 WATCHMANS CV,Hall County,Georgia,2/16/2022,"$432,960.00 ",0.16,Residential,2021,2744,$157.78 ,08065 Stephens Point,34.2416996,-83.9094691
105,105,08111 003065,5628 WILD OLIVE DR,Hall County,Georgia,2/16/2022,"$410,000.00 ",0.14,Residential,2020,2850,$143.86 ,08111 Summit Lake,34.1963214,-83.9297433
106,106,15042 000582,7041 BRANCH CREEK CV,Hall County,Georgia,2/16/2022,"$488,470.00 ",0.19,Residential,2021,3070,$159.11 ,05662 Lancaster,34.0110911,-83.9840376
107,107,01086 003002,1464 NE RIVERSIDE DR,Hall County,Georgia,2/16/2022,"$165,000.00 ",0.49,Residential,2022,3484,$47.36 ,00280 RIVERSIDE DRIVE AREA,34.324125,-83.8288957
108,108,15042 000493,7007 KEMPTON CT,Hall County,Georgia,2/16/2022,"$475,200.00 ",0.22,Residential,2021,3180,$149.43 ,05662 Lancaster,34.1385028,-83.8895567
109,109,08065 000343,5146 WATCHMANS CV,Hall County,Georgia,2/15/2022,"$449,560.00 ",0.16,Residential,2021,2758,$163.00 ,08065 Stephens Point,34.2426861,-83.9101726
110,110,12127 000039,8617 DECOY LN,Hall County,Georgia,2/15/2022,"$464,900.00 ",1,Residential,2021,3201,$145.24 ,03034 MALLARD VIEW,34.4623173,-83.7183227
111,111,15047G000075,7035 BLACKBIRD CT,Hall County,Georgia,2/15/2022,"$402,485.00 ",0.22,Residential,2021,2464,$163.35 ,05037K STERLING KNUTSON,34.1566561,-83.9154693
